drawing_no,title,project_id,building,floor,discipline,current_ver,cad_path,pdf_path,aliases
A9-06,大樣詳圖(六)防撞條及水箱詳圖,,,,,,,,
A9-07,大樣詳圖(七)-斜坡出入口及停車設施詳圖,,,,,,,,
A9-08,大樣詳圖(八)-收邊原則案例詳圖,,,,,,,,
A9-09,防水大樣詳圖(一),,,,,,,,
A9-10,防水大樣詳圖(二),,,,,,,,
A9-11,防水大樣詳圖(三),,,,,,,,
A9-12,防水大樣詳圖(四),,,,,,,,
A9-13,洗窗機配置平面圖,,,,,,,,
A9-14,月台調整版、洗窗機大樣詳圖,,,,,,,,
A9-15,櫥櫃詳圖(一),,,,,,,,
A9-16,櫥櫃詳圖(二),,,,,,,,
A9-17,櫥櫃、洗手檯詳圖,,,,,,,,
A9-18,櫥櫃細部詳圖,,,,,,,,
A9-19,外牆石材詳圖(一),,,,,,,,
A9-20,外牆石材詳圖(二),,,,,,,,
A9-21,外牆石材詳圖(三),,,,,,,,
A9-22,接地及避雷系統配置圖,,,,,,,,
A9-23,消/導雷器詳圖,,,,,,,,
A9-24,吊物平台防護詳圖,,,,,,,,
A10-01,地下二層指標平面圖,,,,,,,,
A10-02,地下一層指標平面圖,,,,,,,,
A10-03,一層指標平面圖,,,,,,,,
A10-04,二層指標平面圖,,,,,,,,
A10-05,三層指標平面圖,,,,,,,,
A10-06,四層指標平面圖,,,,,,,,
A10-07,五層指標平面圖,,,,,,,,
A10-08,六層指標平面圖,,,,,,,,
A10-09,七層指標平面圖,,,,,,,,
A10-10,指標大樣詳圖(一),,,,,,,,
